what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1669088577837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669088579867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669088590395
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1669088592772
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669088592778
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1669088594313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669088596920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669088599045
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1669088599438
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669088601933
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1669088602197
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1669088608835
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669088608843
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1669088615256
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1669088615472
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669088616639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669088706604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669088756562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669088775990
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669088785372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669088791779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669088800507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669088840807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669089177097
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1669089179690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669089180472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669089504369
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1669089509474
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669089509481
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1669089511986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669089516673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669089518727
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1669089519137
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669089521699
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1669089521962
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1669089528753
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669089528761
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1669089528923
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1669089532639
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1669089532863
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669089533623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669089585475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669089773006
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1669089774999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669089778116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669089788239
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1669089790860
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669089790866
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1669089792483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669089798546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669089800807
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1669089801206
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669089803676
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1669089803938
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1669089810543
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669089810549
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1669089812935
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1669089813151
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669089813921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669089842133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669090072936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669090075398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669090076510
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1669090078506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669090079842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669090092899
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1669090095349
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669090095357
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1669090097098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669090100659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669090102760
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1669090103162
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669090105709
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1669090105972
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1669090113041
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669090113050
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1669090116517
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1669090116743
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669090117590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669090134398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669090146367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669090151077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669090292467
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1669090294970
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669090308379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669090320767
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1669090322922
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669090322929
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1669090324686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669090327526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669090329504
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1669090329913
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669090332400
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1669090332659
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1669090339434
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669090339441
opened,editor,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1669090339549
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1669090339591
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1669090341340
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1669090341558
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669090342289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669090378958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669090656433
closed,editor,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1669090658495
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1669090658562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669090659869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669090675377
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1669090676848
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669090676854
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1669090704759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669090710918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669090712916
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1669090713324
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669090715965
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1669090716211
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1669090722817
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669090722825
opened,editor,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1669090722941
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1669090725975
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1669090726058
closed,editor,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1669090726114
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1669090728428
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669090730219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669090986161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669090990319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669091079976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669091616091
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1669091618383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669091623775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669091691568
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1669091695053
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1669091695059
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1669091697237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669091706851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1669091708966
